timestamp,symbol,toSymbol,close,high,low,open,volumeFrom,volumeTo
1391904000000,LTC,USD,18.7,19.81,17,17.5,95,1778.38
1391990400000,LTC,USD,17.9,19.71,14,18.7,329.83,5280.48
1392076800000,LTC,USD,16.3,19.69,15.7,17.9,344.8,5503.51
1392163200000,LTC,USD,19.49,19.49,16.3,16.3,28.01,490.32
1392249600000,LTC,USD,16.42,19.49,16.38,19.49,181.79,2990.39
1392336000000,LTC,USD,16.76,16.84,14.37,16.42,86.08,1355.13
1392422400000,LTC,USD,16.28,16.76,16.28,16.76,1.4,22.79
1392508800000,LTC,USD,15.23,16.28,15.23,16.28,11.69,178.08
1392595200000,LTC,USD,15.76,15.76,15.23,15.23,25.3,385.91
1392681600000,LTC,USD,17.28,17.28,15.63,15.76,52.57,900.07
1392768000000,LTC,USD,15.83,17.41,15.81,17.28,8.168,134.4
1392854400000,LTC,USD,15.95,17.2,14.35,15.83,234.94,3719.94
1392940800000,LTC,USD,14.89,15.95,14.34,15.95,118.62,1798.45
1393027200000,LTC,USD,13.32,15.63,13.32,14.89,31.54,461.13
1393113600000,LTC,USD,15.0,16.62,13.32,13.32,104.95,1700.96
1393200000000,LTC,USD,15.22,15.93,14.21,15.0,121.65,1859.84
1393286400000,LTC,USD,14.42,15.22,11.13,15.22,654.62,8630.86
1393372800000,LTC,USD,15.85,16.61,14.13,14.42,629.06,9672.38
1393459200000,LTC,USD,14.84,15.85,14.58,15.85,139.35,2076.86
1393545600000,LTC,USD,15.05,15.05,14,14.84,157.28,2300.79
1393632000000,LTC,USD,13.54,15.05,13.54,15.05,18.42,258.36
1393718400000,LTC,USD,12.86,13.54,12.86,13.54,9.643,125.43
1393804800000,LTC,USD,14.24,15.49,12.86,12.86,152.66,2202.59
1393891200000,LTC,USD,17.11,19.9,14.24,14.24,465.21,8051.45
1393977600000,LTC,USD,17.34,18.03,15.01,17.11,61.57,980.83
1394064000000,LTC,USD,16.82,17.5,16.82,17.34,45.89,784.55
1394150400000,LTC,USD,16.89,16.89,16.43,16.82,73.27,1205.51
1394236800000,LTC,USD,15.56,16.89,15.56,16.89,4.393,69.49
1394323200000,LTC,USD,16.16,16.97,15.56,15.56,56.39,918.2
1394409600000,LTC,USD,16.21,16.7,15.98,16.16,132.54,2181.22
1394496000000,LTC,USD,16.22,16.7,16.21,16.21,2.519,40.04
1394582400000,LTC,USD,17.75,17.77,16.22,16.22,200.96,3535.41
1394668800000,LTC,USD,17.78,17.78,17,17.75,46.22,812.0
1394755200000,LTC,USD,17.0,17.84,17,17.78,17.02,298.11
1394841600000,LTC,USD,17.16,17.74,16.87,17.0,7.012,119.24
1394928000000,LTC,USD,17.18,17.9,17.16,17.16,6.939,122.6
1395014400000,LTC,USD,17.89,17.9,17.18,17.18,20.6,365.12
